web-scraper-order,web-scraper-start-url,content
"1607355794-695","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","她怎么就知道，人家当全职太太，宝宝上学后，人家还能回到社会呢，没必要在人生的每一个阶段都这么为难女性吧，又要求经济独立，又要协调好家庭，还要照顾好子女，真的太累了，事实就是，能做好一项就很厉害了，全职妈妈就很简单吗？我身边有的二胎政策放开，全职妈妈自己看，饭都来不及吃…"
"1607355794-641","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","感觉怎么觉得女生不上班，好像就一点地位没有是的。我原来工作十年，也很好，但是现在觉得应该陪伴孩子，就辞职了。现在也很开心快乐啊，老公也很好，没说不帮家庭分担家务，挣的所有钱都上交。人生很短暂，体验什么样的人生都可以，自己觉得开心就行。不同阶段想法不同"
"1607355794-250","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","我参与了@都市时报 发起的投票【如何看待大学生做全职太太？】，我投给了“可以理解，毕竟是个人选择”这个选项，你也快来表态吧~"
"1607355794-659","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","我觉得你们得看里面的事情，是校长培养他们的，校长肯定内心很烦，你做全职太太了，还来捐款干嘛，你别把学生们带偏了。所以校长拒绝了捐款。"
"1607355794-763","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","夫妻双方结婚，男方工资比女方高，双方父母均无条件带娃，那孩子怎么办？让他自生自灭吗？到时候又有舆论说读这么多书连孩子都不管最好的解决办法就是工资少的一方在家带娃，直到孩子上学啊！不然花钱请个高中毕业的保姆在家带娃吗？孩子起跑线就输了。"
"1607355794-607","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","全职太太不可耻，同样是一种职业，好的家庭需要有人来维系，如果一个家庭两个人都出去搞事业，那孩子怎么办？别人的一种选择而已，你可以不接受捐款，让人滚出去就自己的境界有点低了"
"1607355794-258","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","关你屁事和关我屁事，爱管别人怎么生活的真是多的数不胜数"
"1607355794-255","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","教育的意义不仅是自立自强，还有能更好地教育下一代"
"1607355794-315","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","个人观点：现在一般的大学生读书不都是想让自己和自己的家人过得好一点，如果能去当全职太太，这难道不是一条捷径吗？"
"1607355794-286","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","其实格局放长远一点，做全职太太是她个人选择，我们没有权利去干涉，受过良好教育也可以把孩子培养成国家栋梁呀，格局不同而已"
